word,class,level,meaning,full_sentence,category
function,noun,b1,"chức năng, công dụng",The main function of the heart is to pump blood.,Technology & Engineering
function,verb,b2,"hoạt động, vận hành",The new machine is expected to function perfectly.,Technology
functional,adjective,c1,"có chức năng, thực dụng, hoạt động được","The old car is still functional, even if it's not pretty.",Technology
fund,noun,b2,"quỹ, nguồn tiền",The charity established a special fund to help victims of the disaster.,Personal Finance
fund,verb,b2,"cấp tiền, tài trợ",The government decided to fund the research project.,Politics & Law
fundamental,adjective,b2,"cơ bản, nền tảng, cốt yếu",A fundamental change in the system is needed to address the issue effectively.,General
fundamentally,adverb,b2,"về cơ bản, một cách cơ bản",The new policy will fundamentally alter the way we do business.,Professions
funding,noun,b2,"kinh phí, nguồn vốn, sự cấp vốn",The project is seeking additional funding from private investors.,Finance
fundraising,noun,c1,"sự gây quỹ, việc quyên góp tiền",The charity organized a successful fundraising event to support local schools.,Personal Finance
funeral,noun,c1,"đám tang, lễ tang",Many friends and family attended the funeral to pay their respects.,Family
funny,adjective,a1,"hài hước, buồn cười",The comedian told a very funny joke that made everyone laugh.,Arts & Music
fur,noun,b1,lông (động vật),The cat's soft fur felt warm to the touch.,General
furious,adjective,b2,"giận dữ, tức giận",She was absolutely furious when she found out her car had been scratched.,Feelings & States
furniture,noun,a2,"đồ đạc, nội thất","We bought some new furniture for the living room, including a sofa and a coffee table.",Home & Housing
further,adjective,a2,"xa hơn, thêm nữa (về khoảng cách hoặc mức độ)",We need to discuss this matter further before making a decision.,General
further,adverb,b1,"xa hơn, thêm nữa",We need to discuss this matter further.,General
furthermore,adverb,b2,"hơn nữa, vả lại","The house is too small; furthermore, it's too expensive.",Grammar
future,adjective,a2,thuộc về tương lai,We need to plan our future travel arrangements.,General
future,noun,a1,tương lai,Everyone wonders what the future holds.,Time
gain,noun,b2,"lợi ích, sự tăng thêm",The company reported a significant gain in profits this quarter.,Professions
gain,verb,b2,"đạt được, giành được, tăng lên",She hopes to gain more experience in her new role.,Professions
gallery,noun,a2,"phòng trưng bày, bộ sưu tập ảnh",We spent the afternoon admiring the paintings in the art gallery.,Visual Arts
gallon,noun,c1,"ga-lông (đơn vị đo lường chất lỏng, khoảng 3.785 lít)",The car's fuel tank holds about 15 gallons of gasoline.,Science
gambling,noun,c1,"cờ bạc, đánh bạc",He lost a lot of money due to his gambling addiction.,People
game,noun,a1,"trò chơi, trận đấu",The children enjoyed playing a board game together.,Daily Life
gaming,noun,b2,Việc chơi trò chơi điện tử; ngành công nghiệp trò chơi điện tử.,Gaming has become a massive industry with millions of players worldwide.,Arts & Music
gang,noun,b2,Băng nhóm (thường là tội phạm); nhóm bạn bè.,The police arrested several members of a notorious street gang.,People
gap,noun,a2,"Khoảng trống, kẽ hở; sự khác biệt lớn.",There is a significant gap between the rich and the poor in many countries.,General
garage,noun,b1,"Gara, nhà để xe.",My father keeps his tools and car in the garage.,Home & Housing
garden,noun,a1,Vườn.,We spent the afternoon planting flowers in the garden.,Nature & Wildlife
gas,noun,a2,khí đốt; xăng,I need to fill up the car with gas before the long trip.,General
gate,noun,a2,cổng; cửa (sân bay),Please close the garden gate when you leave.,General
gather,verb,b1,tập hợp; thu thập,The children like to gather wildflowers in the field.,General
gathering,noun,c1,cuộc tụ họp; buổi gặp mặt,We had a small family gathering for my grandmother's birthday.,People
gay,adjective,b2,đồng tính luyến ái (nam hoặc nữ),The parade celebrated gay pride and diversity.,People
gaze,noun,c1,cái nhìn chằm chằm,Her intense gaze made him feel uncomfortable.,Emotions
gaze,verb,c1,nhìn chằm chằm,"She would often gaze out of the window, lost in thought.",Action
gear,noun,c1,"thiết bị, dụng cụ; bánh răng",We need to pack all our camping gear before heading to the mountains.,Travel
gender,noun,b2,giới tính,"The form asks for your name, age, and gender.",Society & Community
gene,noun,b2,gen,Scientists are studying how specific genes influence human behavior.,Biology & Chemistry
general,adjective,a2,"chung, tổng quát",The general opinion is that the new policy will be beneficial.,Grammar
generally,adverb,b1,"nói chung, thường là",People generally prefer to work from home on Fridays.,General
generate,verb,b2,"tạo ra, sản xuất ra",Wind turbines generate electricity from the power of the wind.,General
generation,noun,b1,"thế hệ, sự phát sinh",The younger generation is very comfortable with technology.,Society & Community
generic,adjective,c1,"chung chung, không có nhãn hiệu riêng",The doctor prescribed a generic version of the medication to save costs.,Health
generous,adjective,b1,"Hào phóng, rộng lượng.",It was very generous of him to donate such a large amount to the charity.,People
genetic,adjective,b2,"(Thuộc) di truyền, gen.",Scientists are studying the genetic factors that contribute to certain diseases.,Biology & Chemistry
genius,noun,b2,"Thiên tài, người có tài năng xuất chúng.",Albert Einstein is widely considered a scientific genius.,People
genocide,noun,c1,Diệt chủng.,The international community condemned the acts of genocide committed during the war.,Politics & Law
genre,noun,b2,"Thể loại (văn học, nghệ thuật, âm nhạc).","My favorite music genre is classical, but I also enjoy jazz.",Arts & Music
gentle,adjective,b1,"nhẹ nhàng, dịu dàng, hiền lành",The nurse had a gentle touch when she bandaged the child's arm.,People
gentleman,noun,b1,"quý ông, người đàn ông lịch thiệp","He held the door open for her, like a true gentleman.",People
genuine,adjective,b2,"thật, chân thật, xác thực","Her smile was genuine, showing her true happiness.",Emotions
genuinely,adverb,b2,"một cách chân thật, thật sự",I genuinely appreciate all your help with this project.,Emotions
geography,noun,a1,địa lý,We studied the geography of South America in our last class.,Education
gesture,noun,b2,"cử chỉ, điệu bộ",He made a rude gesture with his hand.,Communication
get,verb,a1,"lấy, nhận, đạt được","Can you get me a glass of water, please?",Action Verbs
ghost,noun,b1,"ma, hồn ma",Many old houses are said to have a resident ghost.,General
giant,adjective,b1,"khổng lồ, rất lớn",They discovered a giant footprint in the mud.,Environment
giant,noun,b1,"người khổng lồ, vật khổng lồ","In the fairy tale, the hero had to defeat a fearsome giant.",Grammar
gift,noun,a2,"món quà, quà tặng",She received a beautiful gift for her birthday.,General
gig,noun,b2,"buổi biểu diễn (âm nhạc), công việc tạm thời",The band played a great gig at the local club last night.,Arts & Music
girl,noun,a1,"cô gái, bé gái",The little girl was playing with her doll in the park.,People
girlfriend,noun,a1,bạn gái,He introduced his girlfriend to his parents for the first time.,Family
give,verb,a1,"cho, tặng",Can you please give me that book?,Action Verbs
glad,adjective,b1,"vui mừng, hân hoan",I'm so glad you could make it to the party tonight.,Feelings & States
glance,noun,c1,cái nhìn thoáng qua,"She cast a quick glance at her watch, realizing she was late.",Action
glance,verb,c1,"liếc nhìn, nhìn thoáng qua",He glanced at the newspaper headlines while waiting for his coffee.,Action
glass,noun,a1,"ly, cốc (để uống); kính (vật liệu)",Please fill this glass with water for me.,Objects & Tools
glimpse,noun,c1,"cái nhìn lướt qua, thoáng thấy",I caught a glimpse of the celebrity as she entered the building.,Action
global,adjective,b1,"toàn cầu, thuộc về toàn thế giới",Climate change is a global issue that affects everyone.,Environment
globalization,noun,b2,sự toàn cầu hóa,Globalization has led to increased interconnectedness between countries.,Finance
globe,noun,b2,quả địa cầu; thế giới,The children learned about different countries using a large globe.,Environment
glorious,adjective,c1,"vinh quang, lộng lẫy, huy hoàng",The team celebrated their glorious victory with their fans.,Sports
glory,noun,c1,"vinh quang, danh tiếng, sự huy hoàng",Soldiers fought for the glory of their country.,Time
glove,noun,b1,găng tay,She put on her warm gloves before going out into the snow.,Fashion
go,noun,b1,"lượt đi, sự cố gắng",It's your go; try to hit the target.,Sports
go,verb,a1,"đi, di chuyển",I need to go to the store to buy some milk.,Travel
goal,noun,a2,"mục tiêu, bàn thắng",His main goal is to finish his degree by next year.,General
god,noun,a2,"thần, thượng đế",Many people believe in a single God who created the universe.,General
gold,adjective,a2,"(có màu) vàng óng, bằng vàng",She wore a beautiful gold necklace to the party.,Fashion
gold,noun,a2,vàng (kim loại quý),Gold is a precious metal often used in jewelry and coins.,General
golden,adjective,b2,"vàng óng; quý giá, thịnh vượng",The sunset painted the sky with a beautiful golden hue.,Environment
golf,noun,a2,môn gôn (thể thao),My father enjoys playing golf every weekend with his friends.,Sports
good,adjective,a1,"tốt, giỏi, hay",She is a very good student and always gets high grades.,Daily Life
good,noun,a2,"điều tốt, lợi ích",We should always strive to do good in the world.,Daily Life
goodbye,exclamation,a1,tạm biệt,She waved and said goodbye as the train pulled away.,Communication
goodbye,noun,a1,lời tạm biệt,Their goodbye was brief and emotional.,Emotions
goodness,noun,b2,"lòng tốt, sự tốt lành",The goodness of her heart was evident in all her actions.,General
goods,noun,b1,"hàng hóa, vật phẩm",The store sells a variety of household goods.,Finance
gorgeous,adjective,b2,"lộng lẫy, tuyệt đẹp, rực rỡ",The sunset over the ocean was absolutely gorgeous.,Environment
govern,verb,b2,"cai trị, quản lý, điều hành",The new president promised to govern with fairness and transparency.,Politics & Law
governance,noun,c1,"sự cai trị, sự quản lý, sự điều hành",Good corporate governance is essential for a company's long-term success.,Professions
government,noun,a2,"chính phủ, sự cai trị",The government announced new policies to boost the economy.,Government & Politics
governor,noun,b2,"thống đốc (người đứng đầu một bang, tỉnh), người cai quản",The state governor signed the new education bill into law.,Government & Politics
grab,verb,b2,"nắm lấy, vồ lấy, chộp lấy",She managed to grab the falling vase just before it hit the floor.,General
grace,noun,c1,"sự duyên dáng, vẻ thanh lịch; ân sủng",The ballerina moved across the stage with incredible grace and elegance.,Arts & Music
grade,noun,b1,điểm số; cấp độ; lớp học,He received a high grade on his final exam.,General
grade,verb,b2,chấm điểm; xếp loại,The teacher spent all weekend grading the students' essays.,General
gradually,adverb,b2,"dần dần, từ từ","The weather gradually improved throughout the day, turning from cloudy to sunny.",Time
graduate,noun,b1,"người tốt nghiệp, sinh viên tốt nghiệp",She is a graduate of Harvard University with a degree in literature.,General
graduate,verb,b1,tốt nghiệp,My brother is excited to graduate from high school next spring.,General
grain,noun,b1,hạt (ngũ cốc); một lượng nhỏ,Rice is a staple grain consumed by billions of people worldwide.,Food & Drink
grand,adjective,b2,"lớn, vĩ đại, hoành tráng",The old palace has a grand ballroom perfect for royal events.,General
grandfather,noun,a1,ông nội/ngoại,My grandfather taught me how to fish when I was a little boy.,Family
grandmother,noun,a1,bà (mẹ của bố hoặc mẹ),My grandmother always tells the most wonderful stories about her childhood.,Family
grandparent,noun,a1,ông bà (bố hoặc mẹ của bố hoặc mẹ),Many children spend their summer holidays visiting their grandparents.,Family
grant,noun,b2,"tiền trợ cấp, khoản tài trợ",The research team applied for a government grant to fund their new project.,Personal Finance
grant,verb,b2,"cấp, ban cho, chấp nhận",The university decided to grant her a scholarship for her excellent academic performance.,General
graphic,adjective,b2,"đồ họa; sinh động, rõ ràng",The artist created a stunning graphic design for the new album cover.,Visual Arts
graphics,noun,b2,"đồ họa, hình ảnh",The new video game features stunning 3D graphics.,Technology
grasp,noun,c1,"sự nắm chặt, sự hiểu biết",He has a good grasp of the subject matter.,Action
grasp,verb,c1,"nắm chặt, hiểu rõ",She quickly grasped the main concept of the lesson.,Action
grass,noun,a2,cỏ,The children played barefoot on the soft grass.,Nature & Wildlife
grateful,adjective,b1,biết ơn,I am truly grateful for your help and support.,Feelings & States
grave,adjective,c1,"nghiêm trọng, trầm trọng","The situation is grave, and we need to act quickly.",Description
grave,noun,c1,"mộ, nấm mồ",He visited his grandmother's grave every year.,Arts & Music
gravity,noun,c1,trọng lực; sự nghiêm trọng,The apple fell from the tree due to gravity.,Biology & Chemistry
great,adjective,a1,"tuyệt vời, vĩ đại, to lớn",We had a great time at the concert.,Arts & Music
greatly,adverb,b2,"rất nhiều, vô cùng",Her efforts contributed greatly to the success of the project.,Professions
green,adjective,a1,xanh lá cây,The grass is a beautiful green color in spring.,Description
green,noun,a1,màu xanh lá cây; rau xanh,She prefers to eat her greens every day for health.,Food & Drink
greenhouse,noun,b2,nhà kính,We grow tomatoes and cucumbers in our greenhouse.,General
greet,verb,a2,chào hỏi,He always greets his neighbors with a friendly smile.,Communication
grey,adjective,a1,màu xám,"The sky was grey and cloudy, promising rain.",Description
grey,noun,a1,màu xám,The artist used a mix of black and white to create the perfect shade of grey.,Arts & Music
grid,noun,c1,"mạng lưới, hệ thống đường kẻ ô","The city's power grid failed during the severe storm, causing widespread outages.",Technology
grief,noun,c1,"nỗi đau buồn sâu sắc, sự đau khổ",She experienced profound grief after the loss of her beloved pet.,Emotions
grin,noun,c1,"nụ cười toe toét, nụ cười rộng",A wide grin spread across his face when he heard the good news.,Emotions
grin,verb,c1,"cười toe toét, cười rộng",He couldn't help but grin when he saw his friends waiting for him.,Emotions
grind,verb,c1,"nghiền, xay; làm việc vất vả",She had to grind for hours to finish her thesis before the deadline.,Professions
grip,noun,c1,"sự nắm chặt, sự kẹp chặt; khả năng kiểm soát",He lost his grip on the rope and fell.,Health
grip,verb,c1,"nắm chặt, kẹp chặt; thu hút sự chú ý",The story gripped the audience from the very beginning.,Emotions
grocery,noun,b2,cửa hàng tạp hóa; hàng tạp hóa (thực phẩm và đồ dùng hàng ngày),I need to go to the grocery store to buy some milk and bread.,Daily Life
gross,adjective,c1,"tổng cộng (trước khi trừ chi phí); thô tục, kinh tởm",The movie had some really gross scenes that made me feel sick.,Emotions
ground,noun,a2,"mặt đất, đất",The ball fell to the ground.,Environment
group,noun,a1,"nhóm, đội",A small group of students gathered outside.,Society & Community
grow,verb,a1,"lớn lên, phát triển, trồng",Plants need sunlight and water to grow.,Science
growth,noun,b1,"sự phát triển, sự tăng trưởng",The company reported significant growth in sales this quarter.,Professions
guarantee,noun,b2,"sự bảo hành, sự đảm bảo",The new television comes with a two-year guarantee.,Professions
guarantee,verb,b2,"Đảm bảo, cam đoan.",The company guarantees to deliver the product within three business days.,Professions
guard,noun,b1,"Người bảo vệ, lính gác; sự bảo vệ.",A security guard stood at the entrance of the building.,Politics & Law
guard,verb,b1,"Canh gác, bảo vệ.",The soldiers were ordered to guard the bridge all night.,Politics & Law
guerrilla,noun,c1,"Du kích, chiến sĩ du kích.",The guerrilla fighters used hit-and-run tactics against the larger army.,Politics & Law
guess,noun,a1,"Sự đoán, phỏng đoán.",My first guess about the answer was correct.,Daily Life
guess,verb,a1,"đoán, phỏng đoán",Can you guess how many candies are in the jar?,Daily Life
guest,noun,a2,"khách, khách mời",We are expecting a few guests for dinner tonight.,Family
guidance,noun,c1,"sự hướng dẫn, sự chỉ dẫn",The students received excellent guidance from their teacher on the project.,Education
guide,noun,a2,"người hướng dẫn, sách hướng dẫn",Our tour guide showed us all the famous landmarks in the city.,Travel
guide,verb,a2,"hướng dẫn, chỉ dẫn",The pilot will guide the plane safely to its destination.,Travel
guideline,noun,b2,"hướng dẫn, chỉ dẫn",The company issued new safety guidelines for all employees.,Professions
guilt,noun,c1,cảm giác tội lỗi,She felt a pang of guilt for forgetting her friend's birthday.,Feelings & States
guilty,adjective,b1,"có tội, cảm thấy tội lỗi",The jury found the defendant guilty of the crime.,Crime & Justice
guitar,noun,a1,đàn ghi-ta,He loves to play his acoustic guitar by the campfire.,Music & Performance
gun,noun,a2,súng,The police officer drew his gun when he saw the suspect.,General
gut,noun,c1,"ruột; bản năng, trực giác",I had a gut feeling that something was wrong.,Science
guy,noun,a2,"anh chàng, gã (người đàn ông)",That guy over there is my brother.,People
gym,noun,a1,phòng tập thể dục,I go to the gym three times a week to stay fit.,Health
habit,noun,a2,thói quen,It's a good habit to read before bed.,Social Life
habitat,noun,b2,"môi trường sống (của động vật, thực vật)",The destruction of the rainforest threatens the habitat of many species.,Nature & Wildlife
hail,verb,c1,"chào đón, hoan nghênh; gọi (taxi); mưa đá",The crowd began to hail the returning hero with cheers and applause.,Family
hair,noun,a1,tóc; lông,"She has long, dark hair that reaches her waist.",Health
half,adverb,a2,"một nửa, bán phần","The project is only half finished, so we still have a lot of work to do.",Science
half,determiner,a1,"một nửa, bán phần",Half the students in the class passed the exam.,Grammar
half,noun,a1,"một nửa, bán phần","I'll take one half of the pizza, and you can have the other.",Food & Drink
half,pronoun,a1,một nửa (khi dùng như đại từ),Half of the cake was eaten by the children.,Food & Drink
halfway,adverb,c1,"ở giữa đường, nửa chừng",We stopped halfway through the hike to enjoy the view.,Travel
hall,noun,a2,"sảnh, hành lang lớn",The students gathered in the main hall for the assembly.,General
halt,noun,c1,"sự dừng lại, điểm dừng",The sudden halt of the bus made everyone lurch forward.,Sports
halt,verb,c1,"dừng lại, ngừng lại",The construction work was halted due to bad weather.,Travel
hand,noun,a1,Bàn tay (phần cuối của cánh tay),She raised her hand to ask a question.,Health
hand,verb,b1,"Đưa, trao (bằng tay)",Please hand me that book from the shelf.,General
handful,noun,c1,Một nắm (lượng có thể cầm trong tay); một số ít người/vật; người/việc khó quản lý,He took a handful of nuts from the bowl.,Science
handle,noun,b2,"Tay cầm, quai (phần để cầm, nắm)",The handle of the cup was broken.,Furniture & Objects
handle,verb,b2,"Xử lý, giải quyết; cầm, nắm",She can handle difficult situations very well.,General
handling,noun,c1,"sự xử lý, sự điều khiển",The company received complaints about the poor handling of customer data.,Professions
handy,adjective,c1,"tiện dụng, khéo tay",It's always handy to have a small flashlight in your car.,Daily Life
hang,verb,b1,"treo, mắc",Please hang your coat on the hook by the door.,Action Verbs
happen,verb,a1,"xảy ra, xảy đến",What will happen if we don't finish the project on time?,Daily Life
happily,adverb,a2,"một cách vui vẻ, hạnh phúc",The children played happily in the park all afternoon.,Emotions
happiness,noun,b1,"sự hạnh phúc, niềm hạnh phúc","True happiness comes from within, not from material possessions.",Feelings & States
happy,adjective,a1,"hạnh phúc, vui vẻ",She felt very happy when she received the good news.,Feelings & States
harassment,noun,c1,"sự quấy rối, sự làm phiền",The company has a strict policy against workplace harassment.,Politics & Law
harbour,noun,b2,"bến cảng, hải cảng",Many ships were anchored safely in the harbour during the storm.,Environment
hard,adjective,a1,"cứng, khó khăn","The exam was very hard, but she managed to pass it.",Daily Life
hard,adverb,a1,"chăm chỉ, vất vả",She worked hard to finish the project on time.,Professions
hardly,adverb,b1,hầu như không,He hardly ever goes out on weekdays.,Grammar
hardware,noun,c1,"phần cứng (máy tính); thiết bị, dụng cụ",The new computer hardware significantly improved its performance.,Computing & Internet
harm,noun,b2,"tổn hại, thiệt hại",There was no permanent harm done to the building after the small fire.,Health
harm,verb,b2,"gây hại, làm hại",Smoking can seriously harm your health.,Health
harmful,adjective,b2,"có hại, gây hại",Exposure to too much sun can be harmful to your skin.,Health
harmony,noun,c1,"sự hòa hợp, sự hài hòa",The different sections of the orchestra played together in perfect harmony.,Music & Performance
harsh,adjective,c1,"khắc nghiệt, gay gắt, thô ráp",The harsh winter weather made travel very difficult.,Environment
harvest,noun,c1,"vụ thu hoạch, mùa gặt",The farmers were pleased with the abundant harvest this year.,Arts & Music
harvest,verb,c1,"thu hoạch, gặt hái",They plan to harvest the grapes in late September.,Arts & Music
hat,noun,a1,"Mũ, nón (vật đội đầu)",She wore a wide-brimmed hat to protect herself from the sun.,Fashion
hate,noun,b1,"Sự căm ghét, lòng thù hận",His face was filled with hate when he spoke of his enemy.,Feelings & States
hate,verb,a1,"Ghét, căm ghét",I really hate waking up early on weekends.,Feelings & States
hatred,noun,c1,"Lòng căm thù sâu sắc, sự thù hằn",The conflict was fueled by years of mutual hatred between the two groups.,Emotions
haunt,verb,c1,Ám ảnh; thường xuyên lui tới (nơi nào đó),The old abandoned house is said to be haunted by a ghost.,Action
have,verb,a1,"sở hữu, có",I have a new book to read.,People
have,auxiliary verb,a2,đã (dùng để tạo thì hoàn thành),They have already eaten dinner.,Grammar
have to,modal verb,a1,phải (có nghĩa vụ),We have to submit the report by Friday.,Grammar
hazard,noun,c1,"mối nguy hiểm, rủi ro",The construction site presented several safety hazards.,Health
he,pronoun,a1,"anh ấy, ông ấy, nó (chỉ người nam)",He is a very kind person.,People
head,noun,a1,"phần trên cùng của cơ thể người hoặc động vật, chứa não, mắt, mũi, miệng.",She nodded her head in agreement.,Health
head,verb,b1,"đi về phía, hướng về một địa điểm hoặc mục tiêu.",We decided to head north towards the mountains.,Travel
headache,noun,a2,cơn đau ở đầu.,"I have a terrible headache, I need some rest.",Health
headline,noun,b1,"tiêu đề lớn ở đầu một bài báo, thường in đậm.",The headline on the front page announced the election results.,Media & Journalism
headquarters,noun,b2,"trụ sở chính, nơi điều hành một tổ chức hoặc công ty.",The company's headquarters are located in New York City.,Professions
heal,verb,b2,"chữa lành, hàn gắn",It takes time for a broken bone to heal completely.,Health
health,noun,a1,sức khỏe,Regular exercise is important for good health.,Health
healthcare,noun,b2,"chăm sóc sức khỏe, y tế",Access to affordable healthcare is a major concern in many countries.,Health
healthy,adjective,a1,"khỏe mạnh, lành mạnh",Eating a balanced diet helps you stay healthy.,Health
hear,verb,a1,nghe,Can you hear the music playing next door?,Health
hearing,noun,b2,thính giác; phiên điều trần,"Her sense of hearing is excellent, allowing her to detect very faint sounds.",Health
heart,noun,a2,trái tim; tấm lòng,The doctor listened to the patient's heart with a stethoscope.,Body & Fitness
heat,noun,a2,sức nóng; nhiệt độ,The heat from the sun was intense today.,Weather & Climate
heat,verb,a2,làm nóng; hâm nóng,Please heat the water for tea.,Cooking & Meals
heating,noun,b1,hệ thống sưởi; sự làm nóng,The central heating system keeps the house warm in winter.,Home & Housing
heaven,noun,b2,"thiên đường, bầu trời",Many cultures believe that good people go to heaven after they die.,General
heavily,adverb,b1,"nặng nề, nhiều, dữ dội","It rained heavily all night, causing some flooding in the streets.",Environment
heavy,adjective,a2,nặng,The box was too heavy for one person to lift alone.,Health
heel,noun,b2,"gót chân, gót giày","She wore high heels to the party, which made her taller.",Health
height,noun,a2,chiều cao,The height of the mountain made it a challenging climb for hikers.,Science
heighten,verb,c1,"làm tăng thêm, làm mạnh thêm, nâng cao",The new policy is expected to heighten tensions between the two countries.,Politics & Law
helicopter,noun,b1,máy bay trực thăng,A helicopter landed on the hospital's helipad to transport the patient.,Transportation
hell,noun,b2,địa ngục; cảnh khổ sở,"According to some religions, sinners will go to hell after death.",General
hello,exclamation,a1,xin chào (lời chào),"Hello, how are you doing today?",Communication
hello,noun,a1,lời chào (danh từ),She gave a quick hello before rushing off to her meeting.,Communication
helmet,noun,b2,Mũ bảo hiểm,Always wear a helmet when riding a bicycle to protect your head.,Health
help,noun,a1,"Sự giúp đỡ, sự hỗ trợ",Thank you for your help with my project.,Communication
help,verb,a1,"Giúp đỡ, hỗ trợ",Can you help me carry these bags?,Communication
helpful,adjective,a2,"Có ích, hữu ích, hay giúp đỡ",The advice she gave me was very helpful.,People
hence,adverb,b2,"Do đó, vì vậy, từ đó","The cost of living is rising; hence, many people are struggling financially.",Grammar
her,determiner,a1,của cô ấy/chị ấy/bà ấy,She lost her keys yesterday.,Daily Life
her,pronoun,a1,cô ấy/chị ấy/bà ấy,I saw her at the park this morning.,Daily Life
herb,noun,b2,"cây rau thơm, thảo mộc",Fresh herbs can add a lot of flavor to your cooking.,Food & Drink
here,adverb,a1,"ở đây, tại đây",Please come here and sit down.,Places & Directions
heritage,noun,c1,"di sản, tài sản thừa kế",The city is proud of its rich cultural heritage.,Arts & Music
hero,noun,a2,"anh hùng, người hùng",The firefighter was hailed as a hero for saving the child from the burning building.,People
hers,pronoun,a2,của cô ấy/bà ấy/chị ấy (đại từ sở hữu),"That red car is hers, not mine.",People
herself,pronoun,a2,chính cô ấy/bà ấy/chị ấy (đại từ phản thân),She taught herself how to play the guitar.,People
hesitate,verb,b2,"do dự, ngần ngại",Don't hesitate to ask if you have any questions.,Communication
hey,exclamation,a1,"này, ê (lời gọi, chào hỏi)","Hey, what are you doing this weekend?",Communication
hi,exclamation,a1,Chào (lời chào thân mật),"Hi, how are you doing today?",Communication
hidden,adjective,b2,"Bị giấu kín, tiềm ẩn, khuất",The detective found a hidden message behind the painting.,General
hide,verb,a2,"Giấu, trốn, che giấu",The children love to hide and seek in the garden.,Sports
hierarchy,noun,c1,"Hệ thống cấp bậc, thứ bậc",The company has a clear hierarchy of management roles.,Professions
high,adjective,a1,"Cao (về độ cao, mức độ)",The mountain is very high and covered in snow.,Environment
high,adverb,a2,"ở trên cao, cao",The bird flew high above the trees.,Environment
high,noun,b2,"điểm cao nhất, mức cao nhất",The stock market reached a new high today.,Finance
high-profile,adjective,c1,"nổi tiếng, được nhiều người biết đến, thu hút sự chú ý",She is a high-profile lawyer known for her work in human rights.,Politics & Law
highlight,noun,b1,"điểm nổi bật, phần quan trọng nhất",The highlight of our trip was visiting the ancient temple.,Travel
highlight,verb,b1,"làm nổi bật, nhấn mạnh",The report highlights the need for better public transportation.,People
highly,adverb,b1,"rất, cực kỳ (mức độ cao)",The new product is highly anticipated by customers.,Professions
highway,noun,b2,"đường cao tốc, quốc lộ",We drove along the highway to reach our destination quickly.,Travel
hilarious,adjective,b2,"rất buồn cười, vui nhộn",The movie was absolutely hilarious; I couldn't stop laughing.,Arts & Music
hill,noun,a2,"đồi, ngọn đồi",We climbed to the top of the hill to enjoy the panoramic view.,Nature & Wildlife
him,pronoun,a1,"anh ấy, ông ấy, nó (tân ngữ)",I saw him at the library this morning.,Grammar
himself,pronoun,a2,"chính anh ấy, tự anh ấy",He bought himself a new book.,Grammar
hint,noun,c1,"gợi ý, ám chỉ",She gave me a subtle hint about what she wanted for her birthday.,Communication
hint,verb,c1,"gợi ý, ám chỉ",He hinted that he might be leaving the company soon.,Communication
hip,noun,b2,hông (bộ phận cơ thể),She put her hands on her hips and looked at him.,Body & Fitness
hire,noun,b2,sự thuê mướn; người được thuê,The company is looking for a new hire to join the marketing team.,Work & Career
hire,verb,b1,"thuê, mướn (người, dịch vụ)",The company decided to hire a new marketing manager.,Work & Career
his,determiner,a1,"của anh ấy, của ông ấy (dùng trước danh từ)",He left his keys on the table.,Grammar
his,pronoun,a2,"của anh ấy, của ông ấy (dùng thay thế danh từ)",That book is not mine; it's his.,Grammar
historian,noun,b2,nhà sử học,The historian spent years researching ancient civilizations.,Time
historic,adjective,b1,"mang tính lịch sử, có ý nghĩa lịch sử",The signing of the peace treaty was a historic moment.,Time
historical,adjective,b1,"thuộc về lịch sử, có tính lịch sử",The city has many historical buildings that attract tourists.,Time
history,noun,a1,lịch sử,I enjoy learning about the history of ancient civilizations.,Education
hit,noun,a2,"cú đánh; sự thành công (bài hát, phim)",The new song became a big hit on the radio.,Arts & Music
hit,verb,a2,"đánh, đấm, va vào",He accidentally hit his head on the low ceiling.,General
hobby,noun,a1,sở thích,My main hobby is collecting old stamps.,Social Life
hockey,noun,a2,môn khúc côn cầu,Ice hockey is a very popular sport in Canada.,Sports
hold,noun,b2,"sự nắm giữ, sự giữ chặt",She lost her hold on the rope and fell.,General
hold,verb,a2,"giữ, cầm, nắm",Please hold this bag for a moment while I open the door.,General
hole,noun,a2,"cái lỗ, hố",There's a small hole in my sock.,Furniture & Objects
holiday,noun,a1,"kỳ nghỉ, ngày lễ",We're planning a holiday to the beach next summer.,Travel
hollow,adjective,b2,"rỗng, trống rỗng",The old tree trunk was hollow inside.,Environment
holy,adjective,b2,"linh thiêng, thần thánh",Jerusalem is considered a holy city by several religions.,General
home,adjective,a2,"(thuộc) nhà, gia đình; nội địa",We enjoyed a delicious home-cooked meal.,Food & Drink
home,adverb,a1,"về nhà, tại nhà","After a long trip, I just want to go home.",Travel
home,noun,a1,"nhà, mái ấm",My home is where my family lives.,Family
homeland,noun,c1,"quê hương, tổ quốc","Many people feel a deep connection to their homeland, even if they live abroad.",Environment
homeless,adjective,b2,vô gia cư,The city is trying to find solutions to help the homeless population.,Society & Community
homework,noun,a1,bài tập về nhà,Don't forget to do your homework before tomorrow's class.,Education
honest,adjective,b1,"trung thực, thật thà","It's important to be honest with your friends, even when it's difficult.",General
honesty,noun,b2,"sự trung thực, tính thật thà",Her honesty was admired by everyone in the office.,General
honour,noun,b2,"danh dự, sự tôn kính",It was a great honour to be invited to speak at the conference.,People
honour,verb,b2,"tôn vinh, kính trọng",We honour the memory of those who fought for freedom.,General
